id,title,description,creator,date,start_date,end_date,type,fabrication_method,dimensions,place,date_accuracy,image_width,image_height,img_hd,img_sd,lat,lng,height,heading,tilt,fov,geometry,portals_id,portals_url,wikidata_id,wikidata_image,wikidata_ims_id,wikidata_depict,omeka_url
001AAN005126,Quartel Central do Corpo de Bombeiros,"Aspecto de uma das edificações do Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1905-01-01,1915-01-01,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm","Praça da República, Centro",circa,"14,1","8,3",https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005126.jpg,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/sd/001AAN005126.jpg,-22.909114,-43.187541,8.35,-153.28,95.04,50.0,"POLYGON ((-43.18754118085375 -22.9091139525844, -43.18765818898061 -22.91270961912553, -43.18804025199996 -22.91268174036878, -43.18841750831305 -22.91261950097071, -43.18878632446103 -22.91252350037751, -43.18914314829351 -22.91239466319789, -43.1894845431873 -22.91223423029589, -43.18980722115128 -22.91204374683712, -43.19010807449808 -22.91182504740387, -43.19038420577754 -22.91158023832224, -43.19060674585379 -22.91134261184217, -43.18754118085375 -22.9091139525844))",79135.0,http://acervos.ims.com.br/portals/#/detailpage/79135,http://www.wikidata.org/entity/Q65620095,http://commons.wikimedia.org/wiki/Special:FilePath/Interior%20do%20Corpo%20de%20Bombeiros%20%282%29%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,https://images.imaginerio.org/api/items/24
001ACL017006,"Largo de São Francisco, em destaque, a real Academia Militar","A Academia que vemos ao centro foi criada em 1810 a partir de parte da obra inacabada da Sé da cidade, que começou a ser levantada em 1750. O próprio prédio militar só ficou pronto entre 1820 e 1830. Destinado a abrigar instituições educacionais do país, nos anos subseqüentes o espaço foi usado pela Escola Militar (1842), Escola Politécnica (1874) e durante todo o século XX e XXI pelo IFCS-UFRJ (Instituto de Filosofia e Ciências Sociais da Universidade Federal do Rio de Janeiro. 
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1865-01-01,1860-01-01,1870-01-01,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",Largo de São Francisco,circa,24,"19,2",https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001ACL017006.jpg,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/sd/001ACL017006.jpg,-22.904689,-43.180573,13.77,-139.48,85.96,50.0,"POLYGON ((-43.18057255153133 -22.90468935943758, -43.18161721726765 -22.90815554479747, -43.18198102176746 -22.90804453211528, -43.18233126092524 -22.90790120654799, -43.18266456155038 -22.90772694849912, -43.18297771362575 -22.9075234362846, -43.18326770122761 -22.90729262996521, -43.18353173157445 -22.90703675246526, -43.18376726192454 -22.90675826815945, -43.18397202406341 -22.90645985913451, -43.18412668277415 -22.90618003927195, -43.18057255153133 -22.90468935943758))",76243.0,http://acervos.ims.com.br/portals/#/detailpage/76243,http://www.wikidata.org/entity/Q65620119,,,http://www.wikidata.org/entity/Q12117134 Largo São Francisco,https://images.imaginerio.org/api/items/46
001ALA011001,Palácio Monroe,"Palácio Monroe, inaugurado em 1906 no final da Avenida Central (atual Avenida Rio Branco) para sede da Conferência Pan-Americana do Rio de Janeiro. Reprodução, com aproveitamento parcial de material original do Pavilhão Brasileiro na Exposição Internacional de 1904 em St.Louis (EUA), que recebeu o grande prêmio do júri da exposição. Projeto de uma  comissão chefiada pelo general engenheiro Francisco Marcelino de Souza  Aguiar. Utilizado inicialmente para exposições, em 1914, funcionou temporariamente como Câmara dos Deputados e,em 1922, serviu de sede para a Comissão Executiva da Exposição do Centenário da Independência do Brasil. Entre 1925 e 1960, funcionou como Senado Federal. Foi demolido na década de 1970. No primeiro plano, à esquerda, parte do Edifício Lafond, um dos primeiros prédios de apartamentos da cidade, na esquina com a Rua Santa Luzia. À direita do palácio está o Passeio Público. Ao fundo, à esquerda, o Outeiro da Glória e, à direita, os morros de Santa Teresa (à frente) e Nova Cintra (atrás).",José dos Santos Affonso,1920-01-01,1915-01-01,1921-01-01,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 15,8 x 21,6 cm; sp: 16,1 x 21,9 cm",Avenida Rio Branco; Centro,circa,"21,6","15,8",https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001ALA011001.jpg,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/sd/001ALA011001.jpg,-22.911183,-43.175168,47.6,-175.68,94.68,50.0,"POLYGON ((-43.17516798500002 -22.91118278500023, -43.17378883121463 -22.91454829845542, -43.1741536121049 -22.91465660842872, -43.17452816270934 -22.91473146275901, -43.17490887563461 -22.91477214050232, -43.17529208412232 -22.91477824987891, -43.17567409737283 -22.91474973204748, -43.17605123610097 -22.91468686167203, -43.1764198679806 -22.91459024427587, -43.17677644263645 -22.91446081040829, -43.17708049631032 -22.91431920933076, -43.17516798500002 -22.91118278500023))",75589.0,http://acervos.ims.com.br/portals/#/detailpage/75589,http://www.wikidata.org/entity/Q65620135,http://commons.wikimedia.org/wiki/Special:FilePath/Pal%C3%A1cio%20Monroe%20%282%29%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,https://images.imaginerio.org/api/items/53
001ALA011002,Teatro Municipal,"O Teatro Municipal do Rio de Janeiro foi inaugurado em 14 de julho de 1909, 4 anos e meio após o início de sua construção, nos primeiros dias de janeiro de 1905. Projetado pelo engenheiro Francisco de Oliveira Passos, filho do prefeito do Rio, Francisco Pereira Passos (1836 - 1913), e por Albert Guilberg, foi inspirado no Teatro da Ópera de Paris. O prédio é um dos mais bonitos e imponentes da cidade e sua história mistura-se com a trajetória cultural do Brasil. Artistas de renome como os irmãos Rodolfo Bernardelli (1852 – 1931) e Henrique Bernardelli (1857 – 1936), Eliseu Visconti (1866 – 1944) e Rodolfo Amoedo (1857 – 1941) participaram da decoração do teatro. Considerado uma das mais importantes salas de espetáculos da América do Sul, ao longo de seus 108 anos recebeu grandes artistas nacionais e internacionais, como as cantoras Bidu Sayão (1902 – 1999), Maria Callas (1923 – 1977) e Renalta Tebaldi (1922 – 2004); os maestros Arturo Toscanini (1867 – 1957), Igor Stravinsky (1882 – 1971) e Heitor Villa-Lobos (1887 – 1959); a atriz Sarah Bernhardt (1844 – 1923) e os bailarinos Margot Fonteyn (1919 – 1991), Rudolf Nureyev (1938 – 1993), Ana Botafogo (1957-) e Mikhail Baryshnikov (1948-); além de importantes personalidades como o papa Francisco (1936-) e o ex-presidente dos Estados Unidos, Barack Obama (1961-).
À direita a Avenida Rio Branco (antiga Avenida Central) e, à esquerda, edificações nas faldas do Morro de Santo Antonio.",José dos Santos Affonso,1920-01-01,1915-01-01,1921-01-01,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 15,8 x 22,0 cm; sp: 16,3 x 22,4 cm",Cinelândia,circa,"22,0","15,8",https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001ALA011002.jpg,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/sd/001ALA011002.jpg,-22.910016,-43.175332,15.36,-45.81,90.71,50.0,"POLYGON ((-43.17533165721228 -22.91001633390647, -43.17901994636068 -22.90883380893647, -43.178876349491 -22.90850650500239, -43.17869861643385 -22.90819374176125, -43.17848845902239 -22.90789853118333, -43.17824790130393 -22.90762371618433, -43.17797926004277 -22.90737194325126, -43.17768512240617 -22.90714563696044, -43.17736832104825 -22.90694697663259, -43.17703190683201 -22.90677787534995, -43.17671902216906 -22.90665370121507, -43.17533165721228 -22.91001633390647))",75590.0,http://acervos.ims.com.br/portals/#/detailpage/75590,http://www.wikidata.org/entity/Q65620136,http://commons.wikimedia.org/wiki/Special:FilePath/Teatro%20Municipal%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q579694 Cinelândia,https://images.imaginerio.org/api/items/54
001ALA011003,Avenida Rio Branco,"Vista geral da Avenida Rio Branco (antiga Avenida Central, até 1912), em direção à Praça Mauá. À esquerda, na altura da bifurcação com a Rua Miguel Couto (antiga dos Ourives), esquina da Rua do Rosário, está a Igreja de Nossa Senhora da Conceição e Boa Morte. Projetada pelo brigadeiro português José Fernandes Pinto Alpoim, levou longos 100 anos para ser concluída: iniciada em 1735, só foi definitivamente terminada em 1835. À direita, no primeiro plano, na esquina com a Rua do Ouvidor, o magazine Colombo, primeira casa comercial da avenida. No mesmo lado, entre as duas torres, a cúpula da Igreja da Candelária.",José dos Santos Affonso,1920-01-01,1915-01-01,1921-01-01,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 21,9 x 15,9 cm; sp: 22,2 x 16,2 cm",Centro,circa,"15,9","21,9",https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001ALA011003.jpg,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/sd/001ALA011003.jpg,-22.904322,-43.178093,30.2,-1.97,91.94,50.0,"POLYGON ((-43.17809338455737 -22.90432219960969, -43.17986437802525 -22.90111610679909, -43.17951470816865 -22.90097164330312, -43.1791513511999 -22.90085944676127, -43.17877780621193 -22.90078059760641, -43.17839767038397 -22.90073585514038, -43.17801460434889 -22.9007256502237, -43.17763229695012 -22.90075008112755, -43.17725442972733 -22.90080891258754, -43.17688464147231 -22.90090157806882, -43.17656560426192 -22.90101163704317, -43.17809338455737 -22.90432219960969))",75591.0,http://acervos.ims.com.br/portals/#/detailpage/75591,http://www.wikidata.org/entity/Q65620138,http://commons.wikimedia.org/wiki/Special:FilePath/Avenida%20Rio%20Branco%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,https://images.imaginerio.org/api/items/55
001AM005001,Inauguração da Estátua da Amizade em frente a Igreja de Santa Luzia,"Inaugurado em 4 de julho de 1931, o monumento à amizade Brasil-Estados Unidos nos foi presenteado por uma iniciativa da Câmara Americana de Comércio, por conta da comemoração do primeiro centenário da emancipação política do Brasil. Localizava-se inicialmente na Praça Estados Unidos, tendo sido reinaugurada em 1942 na Praça 4 de Julho, em frente à Embaixada Americana. O monumento, obra do escultor Charles Keeke, representa uma mulher de pé sustentando com a mão direita uma palma de louros e com a esquerda as bandeiras brasileira e norte-americana. No pedestal do monumento há dois medalhões e logo abaixo a inscrição ""Amizade do povo americano ao povo brasileiro 07/09/1822- 07/09/1922"".",Augusto Malta,1931-07-04,1931-01-01,1931-01-01,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i. 17 X 23,3 cm; s.p. 17,4 X 23,5 cm",Centro,day,"23,3",17,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AM005001.jpg,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/sd/001AM005001.jpg,-22.910567,-43.171647,10.34,-30.38,86.45,50.0,"POLYGON ((-43.17164717109422 -22.91056727574719, -43.17486105421766 -22.90852359754265, -43.17462810805385 -22.90824327320686, -43.17436645530915 -22.90798533016967, -43.17407861586234 -22.90775225242913, -43.1737673617271 -22.90754628451771, -43.17343569035755 -22.90736940989132, -43.17308679578463 -22.9072233318325, -43.17272403786149 -22.90710945705133, -43.17235090991361 -22.90702888214193, -43.17201343804854 -22.90698585005435, -43.17164717109422 -22.91056727574719))",19349.0,http://acervos.ims.com.br/portals/#/detailpage/19349,http://www.wikidata.org/entity/Q65620149,http://commons.wikimedia.org/wiki/Special:FilePath/Inaugura%C3%A7%C3%A3o%20da%20Est%C3%A1tua%20da%20Amizade%20em%20frente%20a%20Igreja%20de%20Santa%20Luzia%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,https://images.imaginerio.org/api/items/78
001AM005002,Inauguração da Estátua da Amizade em frente a Igreja de Santa Luzia,"Inaugurado em 4 de julho de 1931, o monumento à amizade Brasil-Estados Unidos nos foi presenteado por uma iniciativa da Câmara Americana de Comércio, por conta da comemoração do primeiro centenário da emancipação política do Brasil. Localizava-se inicialmente na Praça Estados Unidos, tendo sido reinaugurada em 1942 na Praça 4 de Julho, em frente à Embaixada Americana. O monumento, obra do escultor Charles Keeke, representa uma mulher de pé sustentando com a mão direita uma palma de louros e com a esquerda as bandeiras brasileira e norte-americana. No pedestal do monumento há dois medalhões e logo abaixo a inscrição ""Amizade do povo americano ao povo brasileiro 07/09/1822- 07/09/1922"".",Augusto Malta,1931-07-04,1931-01-01,1931-01-01,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i. 16,9 X 23,4 cm; s.p. 17,2 X 23,7 cm",Centro,day,"23,4","16,9",https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AM005002.jpg,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/sd/001AM005002.jpg,-22.909963,-43.171729,13.86,-57.95,96.6,50.0,"POLYGON ((-43.17172910651603 -22.90996309464027, -43.17560491944486 -22.90952159585399, -43.17553927136003 -22.90917379297243, -43.17543692994384 -22.90883359188859, -43.17529888105084 -22.90850426885558, -43.1751264543839 -22.90818899534365, -43.17492131068015 -22.90789080750082, -43.17468542571044 -22.90761257691722, -43.17442107124683 -22.90735698297476, -43.17413079318145 -22.90712648704828, -43.17385325998282 -22.90694447193835, -43.17172910651603 -22.90996309464027))",19350.0,http://acervos.ims.com.br/portals/#/detailpage/19350,http://www.wikidata.org/entity/Q97772548,http://commons.wikimedia.org/wiki/Special:FilePath/Inaugura%C3%A7%C3%A3o%20da%20Est%C3%A1tua%20da%20Amizade%20em%20frente%20a%20Igreja%20de%20Santa%20Luzia%20%282%29%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,https://images.imaginerio.org/api/items/79
001AM011,Praça Tiradentes,"Aspecto das imediações da praça Tiradentes. Rua com transeuntes, carros e bondes, um deles em direção a Engenho de Dentro.",Augusto Malta,1924-01-01,1924-01-01,1924-01-01,FOTOGRAFIA/ Papel,GELATINA/ Prata,"s.p. 17,5 X 22,9 cm",Centro,year,"22,9","17,5",https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AM011.jpg,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/sd/001AM011.jpg,-22.907503,-43.183452,8.38,81.63,88.95,50.0,"POLYGON ((-43.18345167624908 -22.90750326928984, -43.17924927610054 -22.90495374693547, -43.17899821739424 -22.90534544560015, -43.1787900458901 -22.90575792555128, -43.17862676670642 -22.90618721455244, -43.17850995269031 -22.90662917845544, -43.17844072925581 -22.90707956100913, -43.1784197635289 -22.90753402484543, -43.17844725790479 -22.90798819324815, -43.17852294808022 -22.90843769230246, -43.178630110314 -22.90882982571846, -43.18345167624908 -22.90750326928984))",77549.0,http://acervos.ims.com.br/portals/#/detailpage/77549,http://www.wikidata.org/entity/Q97772808,http://commons.wikimedia.org/wiki/Special:FilePath/Pra%C3%A7a%20Tiradentes%20%282%29%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,https://images.imaginerio.org/api/items/83
001AM013,Bonde em frente a Igreja do Santíssimo Sacramento da Antiga Sé,"Bonde de linha não identificada, com inscrição lateral de número 449.",Augusto Malta,1924-05-28,1924-01-01,1924-01-01,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i. 17,4 X 22,9 cm; s.p. 17,6 X 23,2 cm",Centro,day,"22,9","17,4",https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AM013.jpg,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/sd/001AM013.jpg,-22.904001,-43.183516,9.19,158.83,88.41,60.2,"POLYGON ((-43.18351569122758 -22.90400138214864, -43.18046878411798 -22.90625151370154, -43.18072288585041 -22.9065157817366, -43.1810038853167 -22.90675583451512, -43.18130907631639 -22.90696936006331, -43.18163551961487 -22.90715430188366, -43.18198007125283 -22.90730887876513, -43.18233941282934 -22.90743160194178, -43.18271008346682 -22.90752128943453, -43.1830885131497 -22.9075770774376, -43.1834710571154 -22.90759842863997, -43.18385403096611 -22.90758513740164, -43.18412190739316 -22.9075550574313, -43.18351569122758 -22.90400138214864))",77552.0,http://acervos.ims.com.br/portals/#/detailpage/77552,http://www.wikidata.org/entity/Q97772811,http://commons.wikimedia.org/wiki/Special:FilePath/Bonde%20em%20frente%20a%20Igreja%20do%20Sant%C3%ADssimo%20Sacramento%20da%20Antiga%20S%C3%A9%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,https://images.imaginerio.org/api/items/84
001AN01002039,Rua Primeiro de Março,,Anônimo,1911-01-01,1906-01-01,1916-01-01,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 7,3 x 9,8 cm; sp: 8,0 x 10,5 cm",Centro,circa,"9,8","7,3",https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AN01002039.jpg,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/sd/001AN01002039.jpg,-22.903544,-43.174484,20.83,-64.36,92.05,31.0,"POLYGON ((-43.17448370076591 -22.90354419409377, -43.17832736388215 -22.90290835835076, -43.17824119452752 -22.90256437746915, -43.17811883923584 -22.90222983311253, -43.17796147658818 -22.90190794704446, -43.17777062226666 -22.90160181910286, -43.17754811445003 -22.90131439735085, -43.17742688104342 -22.90117987502769, -43.17448370076591 -22.90354419409377))",80386.0,http://acervos.ims.com.br/portals/#/detailpage/80386,http://www.wikidata.org/entity/Q65620173,http://commons.wikimedia.org/wiki/Special:FilePath/Largo%20e%20Rua%201%C2%BA%20de%20Mar%C3%A7o%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,https://images.imaginerio.org/api/items/148
